REGION,COMUNA,ZONA,SEXO,EDAD,P52_1,P52_2,P52_3,P52_4,P52_5,P52_6,P52_7,P52_8,GSE,P38,P42
13,128,1,2,17,1,1,10,1,10,10,10,10,3,1,1
13,128,1,2,17,1,10,1,10,10,1,1,1,3,1,1
13,112,1,1,27,4,6,5,2,6,1,3,4,4,2,3
13,112,1,2,25,2,5,3,2,5,2,2,1,3,2,3
13,128,1,1,23,3,3,3,3,4,3,5,5,4,2,1
13,128,1,1,26,1,1,3,1,1,4,5,1,5,2,1
13,128,1,2,20,5,5,5,5,5,5,5,5,4,2,2
13,128,1,1,18,1,3,1,1,7,3,3,9,3,1,1
13,123,1,2,25,4,4,3,3,1,4,5,5,4,2,99
13,123,1,2,22,4,2,2,4,2,2,4,2,4,2,99
13,123,1,2,26,1,2,6,1,6,6,6,1,2,2,99
13,123,1,1,28,4,4,5,4,6,4,4,3,4,2,99
13,123,1,1,28,3,4,2,2,5,1,1,1,4,2,99
13,123,1,1,15,1,1,1,1,3,3,3,3,3,1,99
13,129,1,2,26,1,1,1,1,10,1,1,1,3,2,1
13,129,1,2,17,2,4,5,6,8,7,6,6,3,1,2
13,129,1,2,24,1,1,1,1,2,2,2,2,3,2,99
13,123,1,1,15,6,6,6,6,5,5,6,6,3,1,2
13,123,1,2,19,1,1,10,1,10,1,10,1,4,2,1
13,123,1,2,16,4,1,6,5,5,5,1,4,3,1,1
13,123,1,2,25,4,5,5,4,4,4,6,4,3,2,99
13,123,1,2,15,6,6,4,5,6,6,6,4,3,1,2
13,123,1,1,25,5,5,5,4,7,5,6,6,4,2,99
13,93,1,2,22,2,5,4,2,6,6,5,7,4,2,1
13,93,1,2,17,7,8,7,7,8,8,7,8,4,1,2
13,93,1,1,15,4,4,5,4,6,6,4,6,4,1,1
13,93,1,2,26,4,6,6,4,7,7,6,3,3,2,1
13,93,1,2,16,3,3,4,3,6,6,3,6,4,1,2
13,93,1,1,25,1,2,4,1,6,6,1,6,4,2,1
13,129,1,2,18,1,3,4,1,5,3,3,3,3,2,3
13,129,1,2,24,4,5,10,3,8,8,6,10,3,2,1
13,129,1,2,21,1,1,4,1,7,2,5,4,3,2,2
13,129,1,2,27,2,5,4,1,5,1,3,3,2,2,1
13,129,1,1,28,5,4,7,4,8,5,6,6,1,2,99
13,129,1,2,17,1,1,1,1,3,1,1,3,3,1,3
13,129,1,1,18,1,1,1,1,1,1,1,1,4,2,3
13,129,1,1,23,1,1,1,1,1,1,1,1,3,2,3
13,129,1,2,21,1,1,1,1,3,1,1,1,3,2,3
13,129,1,2,21,3,5,5,1,8,1,5,1,3,2,99
13,129,1,2,24,1,1,1,1,1,1,1,1,4,2,99
13,129,1,1,19,2,1,7,1,6,99,4,8,3,1,1
13,129,1,2,21,1,3,4,1,1,3,3,1,2,2,2
13,129,1,1,23,1,5,5,3,2,5,5,3,3,2,1
13,129,1,1,24,1,1,3,1,1,1,4,1,3,2,3
13,129,1,2,25,4,4,7,2,6,6,7,6,3,2,1
13,129,1,2,26,10,10,5,6,4,8,10,8,3,2,3
13,129,1,2,23,1,1,8,5,6,8,6,1,2,2,1
13,123,1,1,18,1,1,1,1,1,1,1,1,4,2,1
13,123,1,1,28,1,1,1,1,4,1,4,1,3,2,99
13,123,1,1,17,1,1,1,1,1,1,1,1,4,1,1
13,123,1,2,19,1,1,4,1,1,1,1,5,5,1,1
13,123,1,2,15,1,1,1,1,1,1,2,2,4,1,1
13,123,1,1,20,1,1,3,1,5,4,5,9,5,2,1
13,123,1,1,21,4,5,5,6,5,6,4,4,4,2,99
13,123,1,2,17,4,5,5,1,9,8,7,2,3,1,99
13,123,1,1,27,5,6,6,2,8,5,4,2,2,2,1
13,123,1,1,28,4,5,3,1,8,7,3,1,3,2,1
13,123,1,1,19,4,6,7,2,9,8,6,2,4,1,1
13,123,1,1,28,3,5,6,1,8,7,5,1,4,2,1
13,107,1,1,19,6,5,5,4,9,8,9,4,4,1,99
13,107,1,1,20,1,4,4,2,1,3,3,1,3,2,1
13,107,1,2,19,4,3,5,3,5,5,4,1,3,2,1
13,107,1,1,20,1,2,1,6,6,3,8,1,4,2,1
13,107,1,2,15,3,4,5,4,4,5,4,3,3,1,99
13,107,1,2,21,1,3,4,2,6,5,7,7,4,2,2
13,129,1,2,16,3,4,6,4,7,7,4,5,4,1,1
13,129,1,2,18,2,1,3,2,3,2,2,2,4,1,2
13,128,1,1,24,6,3,4,5,5,5,5,4,3,2,1
13,128,1,2,26,1,5,5,3,7,7,7,2,3,2,1
13,128,1,2,27,1,5,5,4,5,2,1,5,3,2,1
13,128,1,2,26,2,2,2,1,3,2,1,3,4,2,1
13,128,1,1,16,1,1,1,1,1,1,1,1,3,1,3
13,128,1,2,25,2,1,1,1,5,2,5,2,2,2,2
13,128,1,1,21,2,1,3,3,3,3,2,3,3,2,1
13,128,1,2,25,1,1,3,1,6,6,1,1,3,2,2
13,128,1,1,17,4,4,4,3,5,4,4,3,2,1,1
13,128,1,1,22,4,4,4,4,1,1,1,1,4,2,1
13,128,1,1,17,5,6,5,4,6,4,4,3,4,1,1
13,128,1,1,26,4,4,5,3,3,4,3,4,3,2,1
13,120,1,2,16,1,1,1,1,1,1,1,1,4,1,1
13,120,1,1,19,1,1,1,1,5,4,4,6,4,2,1
13,120,1,1,20,1,1,1,1,1,1,1,1,3,1,99
13,120,1,2,23,1,1,1,1,7,1,1,1,3,2,1
13,120,1,2,23,1,1,1,1,1,1,1,1,3,2,99
13,128,1,1,16,1,1,1,1,1,1,2,2,4,1,99
13,128,1,1,18,7,10,8,9,5,6,7,6,2,1,1
13,128,1,1,26,1,1,3,1,4,1,4,1,2,2,1
13,128,1,2,29,2,1,2,2,6,3,4,4,3,2,3
13,128,1,2,19,1,5,7,2,5,2,5,2,4,2,99
13,128,1,2,19,2,1,2,2,6,3,4,4,3,2,3
13,128,1,1,29,1,1,3,2,5,2,99,6,3,2,1
13,128,1,2,27,2,1,1,2,7,1,3,2,3,2,2
13,128,1,2,29,1,1,1,1,2,2,2,1,3,2,99
13,128,1,2,28,1,1,1,1,1,1,1,1,2,2,3
13,128,1,1,24,5,5,5,9,5,4,6,5,3,2,99
13,128,1,1,20,1,1,1,1,1,1,3,4,4,2,3
13,128,1,2,17,3,3,3,3,4,3,3,3,4,1,3
13,128,1,2,20,2,1,2,2,6,3,4,4,4,2,3
13,128,1,1,23,2,2,2,2,5,5,6,6,3,2,3
13,128,1,2,23,2,2,2,1,2,1,2,2,4,2,1
13,128,1,2,28,1,2,6,2,6,4,4,4,2,2,99
13,128,1,2,25,4,4,4,3,2,4,4,2,3,2,1
13,128,1,1,17,3,3,5,3,6,6,5,1,2,1,1
13,128,1,2,23,3,4,3,3,3,3,7,3,4,1,1
13,128,1,1,20,4,4,5,5,4,4,4,6,4,1,1
13,128,1,1,23,6,5,5,5,3,8,5,5,2,2,1
13,123,1,2,20,1,1,1,1,1,1,1,1,3,2,1
13,105,1,1,22,2,5,5,2,3,3,8,5,4,2,1
13,105,1,1,17,4,3,5,2,10,2,5,7,3,1,2
13,105,1,1,17,99,1,1,1,1,1,1,6,4,2,99
13,105,1,1,23,2,2,2,2,2,5,3,4,1,2,2
13,105,1,1,16,4,4,4,4,5,4,4,4,3,1,3
13,105,1,1,17,5,5,3,1,6,4,4,4,4,1,1
13,123,1,1,19,4,4,5,4,4,4,6,2,3,2,99
13,123,1,2,20,2,4,5,2,4,2,6,2,3,2,1
13,123,1,2,16,4,5,5,4,4,5,5,5,4,1,99
13,123,1,2,19,4,3,3,4,4,3,3,4,4,2,99
13,123,1,1,28,5,5,5,4,6,4,5,5,3,2,99
13,123,1,2,15,5,4,4,5,4,4,5,6,5,1,99
13,125,1,2,24,2,2,4,3,5,4,6,6,3,2,1
13,125,1,1,24,1,1,4,1,2,1,8,6,4,2,2
13,125,1,1,19,2,2,2,1,3,2,2,2,4,2,3
13,125,1,1,29,1,1,1,1,5,5,5,5,3,2,1
13,125,1,2,28,1,1,1,1,4,1,4,4,2,2,2
13,122,1,1,24,4,5,6,3,7,4,8,2,3,2,1
13,122,1,2,29,4,4,3,1,2,3,1,2,1,2,2
13,122,1,2,18,1,1,1,1,6,1,1,1,3,1,2
13,122,1,2,17,1,1,4,1,7,5,7,6,4,1,1
13,122,1,2,18,4,3,5,4,8,4,6,1,3,2,1
13,122,1,2,25,2,2,2,2,1,1,1,1,3,2,1
13,105,1,2,26,4,4,1,3,7,6,6,5,1,2,1
13,105,1,2,20,1,1,1,1,1,1,1,10,3,2,99
13,105,1,2,19,1,1,3,1,3,1,3,3,4,2,1
13,105,1,2,17,2,2,3,2,6,4,4,4,3,1,99
13,123,1,1,23,4,4,6,6,4,4,4,4,4,2,99
13,123,1,1,17,4,4,6,5,4,5,4,6,3,1,1
13,123,1,2,21,1,1,1,1,1,1,5,1,4,2,99
13,123,1,1,15,5,4,8,3,6,1,6,10,4,1,1
13,123,1,1,15,2,2,2,1,3,2,4,2,3,1,99
13,123,1,1,21,4,5,6,1,1,2,7,1,4,2,99
13,127,1,2,29,4,3,5,2,5,4,4,3,4,2,3
13,127,1,1,27,4,3,5,2,5,4,4,4,3,2,99
13,127,1,1,27,1,3,4,4,5,4,6,1,2,2,1
13,127,1,2,29,3,4,5,4,5,4,4,6,2,2,1
13,127,1,2,29,4,5,6,5,6,3,4,5,1,2,99
13,127,1,1,19,4,3,3,1,6,4,4,3,4,2,99
13,129,1,1,19,3,3,4,3,3,4,4,5,3,2,2
13,129,1,1,15,1,1,5,2,1,1,2,10,4,1,1
13,129,1,2,24,1,1,6,1,4,1,1,1,5,2,3
13,129,1,2,29,4,5,6,1,3,2,6,1,4,2,2
13,129,1,1,18,1,1,10,3,8,7,9,4,4,2,2
13,129,1,1,29,1,1,1,1,10,1,6,6,4,2,99
13,112,1,2,15,1,1,10,1,10,10,1,1,3,1,3
13,112,1,2,27,1,1,1,1,1,1,1,1,4,2,2
13,112,1,1,26,3,2,2,3,3,2,2,4,4,2,2
13,112,1,1,20,1,1,2,1,3,5,4,3,3,2,99
13,112,1,2,23,6,7,6,5,9,5,5,4,3,2,1
13,112,1,2,24,1,4,2,1,8,4,4,2,3,2,3
13,120,1,1,16,2,5,5,4,6,6,8,5,4,1,2
13,120,1,1,16,2,5,6,6,3,5,7,2,2,1,99
13,120,1,2,27,1,2,1,1,5,2,1,1,3,2,99
13,120,1,2,21,1,1,1,1,7,1,1,1,3,2,99
13,120,1,2,20,1,1,1,1,3,1,3,1,3,2,1
13,120,1,2,29,1,1,1,1,5,1,1,1,4,2,1
13,123,1,1,18,8,7,7,5,9,4,4,5,3,1,1
13,123,1,2,25,2,5,4,1,8,6,4,1,3,2,1
13,123,1,1,15,5,4,3,2,9,4,4,3,2,1,1
13,118,1,2,18,6,4,4,5,3,6,6,5,3,1,1
13,118,1,1,18,5,4,5,5,4,4,5,3,4,1,1
13,123,1,2,15,6,5,5,6,9,7,7,8,3,1,1
13,123,1,2,15,6,5,3,4,9,5,7,3,3,1,1
13,123,1,1,19,5,6,6,5,4,5,5,6,3,1,3
13,123,1,2,23,4,5,5,4,6,5,5,4,4,2,1
13,123,1,1,19,6,7,5,6,7,8,7,6,3,2,1
13,123,1,2,22,6,4,5,3,4,4,5,5,3,2,99
13,112,1,1,27,1,1,1,1,10,1,1,5,3,2,99
13,112,1,2,27,2,2,3,2,5,5,5,2,3,2,1
13,112,1,1,15,4,3,5,2,4,4,4,2,4,1,3
13,112,1,2,17,1,1,1,1,4,1,6,1,3,1,2
13,112,1,2,22,4,2,4,2,7,7,6,2,3,2,3
13,112,1,1,19,5,7,7,5,4,7,4,5,3,2,2
13,127,1,2,18,1,2,5,1,5,1,2,1,2,2,1
13,127,1,2,26,1,2,6,1,5,1,5,5,3,2,3
13,127,1,2,19,5,6,1,4,5,2,5,1,2,2,3
13,127,1,2,15,3,3,3,1,1,3,1,2,4,1,1
13,120,1,2,26,1,1,1,1,1,1,1,1,2,2,1
13,100,1,2,18,2,2,2,2,5,5,2,2,3,1,99
13,100,1,1,28,2,3,3,2,5,1,8,4,4,2,3
13,100,1,1,21,1,1,1,1,7,6,1,1,5,2,2
13,100,1,2,25,1,1,1,1,3,1,1,1,3,2,99
13,100,1,2,26,1,1,1,1,1,1,1,1,5,2,99
13,100,1,1,23,99,99,99,99,4,5,6,1,4,2,2
13,123,1,1,25,1,1,2,1,1,1,5,2,4,2,3
